sourceTaxonId	sourceTaxonIds	sourceTaxonName	sourceTaxonRank	sourceTaxonPathNames	sourceTaxonPathIds	sourceTaxonPathRankNames	sourceTaxonSpeciesName	sourceTaxonSpeciesId	sourceTaxonGenusName	sourceTaxonGenusId	sourceTaxonFamilyName	sourceTaxonFamilyId	sourceTaxonOrderName	sourceTaxonOrderId	sourceTaxonClassName	sourceTaxonClassId	sourceTaxonPhylumName	sourceTaxonPhylumId	sourceTaxonKingdomName	sourceTaxonKingdomId	sourceId	sourceOccurrenceId	sourceCatalogNumber	sourceBasisOfRecordId	sourceBasisOfRecordName	sourceLifeStageId	sourceLifeStageName	sourceBodyPartId	sourceBodyPartName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	sourceSexId	sourceSexName	interactionTypeName	interactionTypeId	targetTaxonId	targetTaxonIds	targetTaxonName	targetTaxonRank	targetTaxonPathNames	targetTaxonPathIds	targetTaxonPathRankNames	targetTaxonSpeciesName	targetTaxonSpeciesId	targetTaxonGenusName	targetTaxonGenusId	targetTaxonFamilyName	targetTaxonFamilyId	targetTaxonOrderName	targetTaxonOrderId	targetTaxonClassName	targetTaxonClassId	targetTaxonPhylumName	targetTaxonPhylumId	targetTaxonKingdomName	targetTaxonKingdomId	targetId	targetOccurrenceId	targetCatalogNumber	targetBasisOfRecordId	targetBasisOfRecordName	targetLifeStageId	targetLifeStageName	targetBodyPartId	targetBodyPartName	targetPhysiologicalStateId	targetPhysiologicalStateName	targetSexId	targetSexName	decimalLatitude	decimalLongitude	localityId	localityName	eventDateUnixEpoch	argumentTypeId	referenceCitation	referenceDoi	referenceUrl	sourceCitation	sourceNamespace	sourceArchiveURI	sourceDOI	sourceLastSeenAtUnixEpoch	combo
NCBI:11020	GBIF:10295241 | IRMNG:11459192 | NCBI:11020 | OTT:4894755	Barmah Forest virus	species	root | Viruses | Riboviria | Orthornavirae | Kitrinoviricota | Alsuviricetes | Martellivirales | Togaviridae | Alphavirus | Barmah Forest virus	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732406 | NCBI:2732461 | NCBI:2732544 | NCBI:11018 | NCBI:11019 | NCBI:11020	| superkingdom |  | kingdom | phylum | class | order | family | genus | species	Barmah Forest virus	NCBI:11020	Alphavirus	NCBI:11019	Togaviridae	NCBI:11018	Martellivirales	NCBI:2732544	Alsuviricetes	NCBI:2732461	Kitrinoviricota	NCBI:2732406	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Vale et al. 1991			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusBarmah Forest viruspathogenOf
NCBI:194965	GBIF:9981689 | NCBI:194965 | OTT:4892116	Aichivirus B	species	root | Viruses | Riboviria | Orthornavirae | Pisuviricota | Pisoniviricetes | Picornavirales | Picornaviridae | Kobuvirus | Aichivirus B	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732408 | NCBI:2732506 | NCBI:464095 | NCBI:12058 | NCBI:194960 | NCBI:194965	| superkingdom |  | kingdom | phylum | class | order | family | genus | species	Aichivirus B	NCBI:194965	Kobuvirus	NCBI:194960	Picornaviridae	NCBI:12058	Picornavirales	NCBI:464095	Pisoniviricetes	NCBI:2732506	Pisuviricota	NCBI:2732408	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Yamashita et al. 2003			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusAichivirus BpathogenOf
NCBI:77763	NCBI:77763 | OTT:4814994	Banna virus	species	root | Viruses | Riboviria | Orthornavirae | Duplornaviricota | Resentoviricetes | Reovirales | Reoviridae | Sedoreovirinae | Seadornavirus | Banna virus	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732405 | NCBI:2732459 | NCBI:2732541 | NCBI:10880 | NCBI:689832 | NCBI:208294 | NCBI:77763	| superkingdom |  | kingdom | phylum | class | order | family | subfamily | genus | species	Banna virus	NCBI:77763	Seadornavirus	NCBI:208294	Reoviridae	NCBI:10880	Reovirales	NCBI:2732541	Resentoviricetes	NCBI:2732459	Duplornaviricota	NCBI:2732405	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusBanna viruspathogenOf
NCBI:40059	GBIF:9838670 | IRMNG:11460415 | NCBI:40059 | OTT:4813580	Palyam virus	species	root | Viruses | Riboviria | Orthornavirae | Duplornaviricota | Resentoviricetes | Reovirales | Reoviridae | Sedoreovirinae | Orbivirus | Palyam virus	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732405 | NCBI:2732459 | NCBI:2732541 | NCBI:10880 | NCBI:689832 | NCBI:10892 | NCBI:40059	| superkingdom |  | kingdom | phylum | class | order | family | subfamily | genus | species	Palyam virus	NCBI:40059	Orbivirus	NCBI:10892	Reoviridae	NCBI:10880	Reovirales	NCBI:2732541	Resentoviricetes	NCBI:2732459	Duplornaviricota	NCBI:2732405	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusPalyam viruspathogenOf
NCBI:40053	GBIF:10290483 | IRMNG:11459519 | NCBI:40053 | OTT:4813614	Corriparta virus	species	root | Viruses | Riboviria | Orthornavirae | Duplornaviricota | Resentoviricetes | Reovirales | Reoviridae | Sedoreovirinae | Orbivirus | Corriparta virus	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732405 | NCBI:2732459 | NCBI:2732541 | NCBI:10880 | NCBI:689832 | NCBI:10892 | NCBI:40053	| superkingdom |  | kingdom | phylum | class | order | family | subfamily | genus | species	Corriparta virus	NCBI:40053	Orbivirus	NCBI:10892	Reoviridae	NCBI:10880	Reovirales	NCBI:2732541	Resentoviricetes	NCBI:2732459	Duplornaviricota	NCBI:2732405	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusCorriparta viruspathogenOf
NCBI:1679172	GBIF:9895925 | IRMNG:11459461 | NCBI:1679172 | OTT:5360764	Chobar Gorge virus	species	root | Viruses | Riboviria | Orthornavirae | Duplornaviricota | Resentoviricetes | Reovirales | Reoviridae | Sedoreovirinae | Orbivirus | Chobar Gorge virus	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732405 | NCBI:2732459 | NCBI:2732541 | NCBI:10880 | NCBI:689832 | NCBI:10892 | NCBI:1679172	| superkingdom |  | kingdom | phylum | class | order | family | subfamily | genus | species	Chobar Gorge virus	NCBI:1679172	Orbivirus	NCBI:10892	Reoviridae	NCBI:10880	Reovirales	NCBI:2732541	Resentoviricetes	NCBI:2732459	Duplornaviricota	NCBI:2732405	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusChobar Gorge viruspathogenOf
NCBI:1678143	NCBI:1678143	Orthohepevirus A	species	root | Viruses | Riboviria | Orthornavirae | Kitrinoviricota | Alsuviricetes | Hepelivirales | Hepeviridae | Orthohepevirus | Orthohepevirus A	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732406 | NCBI:2732461 | NCBI:2732543 | NCBI:291484 | NCBI:1678141 | NCBI:1678143	| superkingdom |  | kingdom | phylum | class | order | family | genus | species	Orthohepevirus A	NCBI:1678143	Orthohepevirus	NCBI:1678141	Hepeviridae	NCBI:291484	Hepelivirales	NCBI:2732543	Alsuviricetes	NCBI:2732461	Kitrinoviricota	NCBI:2732406	Orthornavirae	NCBI:2732396						UBERON:0000113	post-juvenile adult stage							pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusOrthohepevirus ApathogenOf
NCBI:11099	NCBI:11099 | OTT:4894160 | WD:Q18968322	Bovine viral diarrhea virus 1		root | Viruses | Riboviria | Orthornavirae | Kitrinoviricota | Flasuviricetes | Amarillovirales | Flaviviridae | Pestivirus | Pestivirus A | Bovine viral diarrhea virus 1	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732406 | NCBI:2732462 | NCBI:2732545 | NCBI:11050 | NCBI:11095 | NCBI:2170080 | NCBI:11099	| superkingdom |  | kingdom | phylum | class | order | family | genus | species |	Pestivirus A	NCBI:2170080	Pestivirus	NCBI:11095	Flaviviridae	NCBI:11050	Amarillovirales	NCBI:2732545	Flasuviricetes	NCBI:2732462	Kitrinoviricota	NCBI:2732406	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusPestivirus ApathogenOf
NCBI:11084	GBIF:8896236 | IRMNG:1039277 | NCBI:11051 | NCBI:11084 | OTT:4893899 | OTT:4893957 | WD:Q1165479 | WORMS:600376	Tick-borne encephalitis virus	species	root | Viruses | Riboviria | Orthornavirae | Kitrinoviricota | Flasuviricetes | Amarillovirales | Flaviviridae | Flavivirus | Tick-borne encephalitis virus	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732406 | NCBI:2732462 | NCBI:2732545 | NCBI:11050 | NCBI:11051 | NCBI:11084	| superkingdom |  | kingdom | phylum | class | order | family | genus | species	Tick-borne encephalitis virus	NCBI:11084	Flavivirus	NCBI:11051	Flaviviridae	NCBI:11050	Amarillovirales	NCBI:2732545	Flasuviricetes	NCBI:2732462	Kitrinoviricota	NCBI:2732406	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusTick-borne encephalitis viruspathogenOf
NCBI:44024	GBIF:9880860 | IRMNG:11460127 | NCBI:44024 | OTT:4894123	Kokobera virus	species	root | Viruses | Riboviria | Orthornavirae | Kitrinoviricota | Flasuviricetes | Amarillovirales | Flaviviridae | Flavivirus | Kokobera virus	NCBI:1 | NCBI:10239 | NCBI:2559587 | NCBI:2732396 | NCBI:2732406 | NCBI:2732462 | NCBI:2732545 | NCBI:11050 | NCBI:11051 | NCBI:44024	| superkingdom |  | kingdom | phylum | class | order | family | genus | species	Kokobera virus	NCBI:44024	Flavivirus	NCBI:11051	Flaviviridae	NCBI:11050	Amarillovirales	NCBI:2732545	Flasuviricetes	NCBI:2732462	Kitrinoviricota	NCBI:2732406	Orthornavirae	NCBI:2732396														pathogenOf	http://purl.obolibrary.org/obo/RO_0002556	GBIF:2441022	EOL:328699 | GBIF:2441022 | INAT_TAXON:74113 | IRMNG:10194972 | ITIS:183838 | NBN:NHMSYS0000080200 | NCBI:9913 | OTT:490099 | doi:10.5281/zenodo.3916389 | http://taxon-concept.plazi.org/id/Animalia/Bos_taurus_Linnaeus_1758 | http://treatment.plazi.org/id/80F7388E4BC26B8776DCEE1EC2042A83	Bos taurus	species	Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Bos | Bos taurus	GBIF:1 | GBIF:44 | GBIF:359 | GBIF:731 | GBIF:9614 | GBIF:2441017 | GBIF:2441022	kingdom | phylum | class | order | family | genus | species	Bos taurus	GBIF:2441022	Bos	GBIF:2441017	Bovidae	GBIF:9614	Artiodactyla	GBIF:731	Mammalia	GBIF:359	Chordata	GBIF:44	Animalia	GBIF:1																			https://en.wiktionary.org/wiki/support	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463. Accessed at <https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip> on 03 Dec 2020.			Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463	genostack/Pathogen-host-range	https://github.com/genostack/Pathogen-host-range/archive/f4014ed79b1211a63e20fedfae7d42a305f7775e.zip		"2020-12-01T23:21:32.785Z
"	Bos taurusKokobera viruspathogenOf
