sourceTaxonName,targetTaxonName,interactionTypeName,sourceTaxonPhylumName,targetTaxonPhylumName
Rousettus bat coronavirus HKU9,Rousettus leschenaultii,pathogenOf,Pisuviricota,Chordata
Pipistrellus bat coronavirus HKU5,Pipistrellus abramus,pathogenOf,Pisuviricota,Chordata
Scotophilus bat coronavirus 512,Scotophilus kuhlii,pathogenOf,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus blasii,pathogenOf,Pisuviricota,Chordata
Miniopterus bat coronavirus 1,Miniopterus pusillus,pathogenOf,Pisuviricota,Chordata
Human coronavirus 229E,Hipposideros caffer,pathogenOf,Pisuviricota,Chordata
Rabies lyssavirus,Diphylla ecaudata,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Nycteris gambiensis,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Micropteropus pusillus,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Epomops dobsonii,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Epomophorus wahlbergi,pathogenOf,Negarnaviricota,Chordata
Lagos bat lyssavirus,Eidolon helvum,pathogenOf,Negarnaviricota,Chordata
Irkut lyssavirus,Murina leucogaster,pathogenOf,Negarnaviricota,Chordata
European bat 1 lyssavirus,Myotis nattereri,pathogenOf,Negarnaviricota,Chordata
Duvenhage lyssavirus,Nycteris thebaica,pathogenOf,Negarnaviricota,Chordata
Lloviu cuevavirus,Miniopterus schreibersii,pathogenOf,Negarnaviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus sinicus,pathogenOf,Pisuviricota,Chordata
Mucambo virus,Phyllostomus hastatus,pathogenOf,Kitrinoviricota,Chordata
Mucambo virus,Molossus rufus,pathogenOf,Kitrinoviricota,Chordata
Chobar Gorge virus,Nycteris nana,pathogenOf,Duplornaviricota,Chordata
Chobar Gorge virus,Nycteris gambiensis,pathogenOf,Duplornaviricota,Chordata
Orthohepevirus D,Hipposideros abae,pathogenOf,Kitrinoviricota,Chordata
Orthohepevirus D,Myotis daubentonii,pathogenOf,Kitrinoviricota,Chordata
Orthohepevirus D,Myotis bechsteinii,pathogenOf,Kitrinoviricota,Chordata
Orthohepevirus D,Rhinolophus ferrumequinum,pathogenOf,Kitrinoviricota,Chordata
Orthohepevirus D,Vampyrodes caraccioli,pathogenOf,Kitrinoviricota,Chordata
Pegivirus B,Pteropus giganteus,pathogenOf,Kitrinoviricota,Chordata
Saboya virus,Nycteris gambiensis,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Natalus tumidirostris,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Pteronotus parnellii,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Mormoops megalophylla,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Tadarida brasiliensis,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Eptesicus fuscus,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Pteronotus davyi,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Phyllostomus discolor,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Anoura geoffroyi,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Carollia perspicillata,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Molossus rufus,pathogenOf,Kitrinoviricota,Chordata
Rio Bravo virus,Molossus molossus,pathogenOf,Kitrinoviricota,Chordata
Phnom Penh bat virus,Eonycteris spelaea,pathogenOf,Kitrinoviricota,Chordata
Phnom Penh bat virus,Cynopterus brachyotis,pathogenOf,Kitrinoviricota,Chordata
Murray Valley encephalitis virus,Pteropus scapulatus,pathogenOf,Kitrinoviricota,Chordata
Montana myotis leukoencephalitis virus,Myotis lucifugus,pathogenOf,Kitrinoviricota,Chordata
Jugra virus,Cynopterus brachyotis,pathogenOf,Kitrinoviricota,Chordata
Entebbe bat virus,Pipistrellus pipistrellus,pathogenOf,Kitrinoviricota,Chordata
Entebbe bat virus,Mops condylurus,pathogenOf,Kitrinoviricota,Chordata
Entebbe bat virus,Chaerephon pumilus,pathogenOf,Kitrinoviricota,Chordata
Dakar bat virus,Scotophilus nigrita,pathogenOf,Kitrinoviricota,Chordata
Dakar bat virus,Mops condylurus,pathogenOf,Kitrinoviricota,Chordata
Dakar bat virus,Chaerephon pumilus,pathogenOf,Kitrinoviricota,Chordata
Carey Island virus,Macroglossus minimus,pathogenOf,Kitrinoviricota,Chordata
Carey Island virus,Cynopterus brachyotis,pathogenOf,Kitrinoviricota,Chordata
Bukalasa bat virus,Chaerephon pumilus,pathogenOf,Kitrinoviricota,Chordata
Tacaribe mammarenavirus,Tonatia bidens,pathogenOf,Negarnaviricota,Chordata
Tacaribe mammarenavirus,Platyrrhinus helleri,pathogenOf,Negarnaviricota,Chordata
Tacaribe mammarenavirus,Artibeus lituratus,pathogenOf,Negarnaviricota,Chordata
Tacaribe mammarenavirus,Artibeus jamaicensis,pathogenOf,Negarnaviricota,Chordata
Tacaribe mammarenavirus,Uroderma bilobatum,pathogenOf,Negarnaviricota,Chordata
Tacaribe mammarenavirus,Sturnira lilium,pathogenOf,Negarnaviricota,Chordata
Tacaribe mammarenavirus,Phyllostomus hastatus,pathogenOf,Negarnaviricota,Chordata
Tacaribe mammarenavirus,Desmodus rotundus,pathogenOf,Negarnaviricota,Chordata
Pipistrellus bat coronavirus HKU5,Pipistrellus pipistrellus,pathogenOf,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus pearsonii,pathogenOf,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus macrotis,pathogenOf,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus ferrumequinum,pathogenOf,Pisuviricota,Chordata
Miniopterus bat coronavirus 1,Miniopterus schreibersii,pathogenOf,Pisuviricota,Chordata
Miniopterus bat coronavirus 1,Miniopterus magnater,pathogenOf,Pisuviricota,Chordata
Human coronavirus 229E,Hipposideros crumeniferus,pathogenOf,Pisuviricota,Chordata
Human coronavirus 229E,Hipposideros abae,pathogenOf,Pisuviricota,Chordata
Rabies lyssavirus,Pteronotus parnellii,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Mormoops megalophylla,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Vespertilio murinus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Tadarida brasiliensis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Plecotus auritus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Perimyotis subflavus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Parastrellus hesperus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Nycticeius humeralis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Nyctalus noctula,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis yumanensis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis volans,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis velifer,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis thysanodes,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis septentrionalis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis riparius,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis nigricans,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis lucifugus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis levis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis leibii,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis evotis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis daubentonii,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis chiloensis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis californicus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis austroriparius,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis albescens,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus xanthinus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus seminolus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus intermedius,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus egregius,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus ega,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus cinereus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus borealis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasiurus blossevillii,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lasionycteris noctivagans,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Histiotus velatus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Histiotus montanus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Histiotus macrotus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Euderma maculatum,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Eptesicus fuscus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Eptesicus furinalis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Eptesicus diminutus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Eptesicus brasiliensis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Corynorhinus townsendii,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Antrozous pallidus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Rhinolophus pusillus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Rhinolophus ferrumequinum,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Rousettus leschenaultii,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Trachops cirrhosus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Platyrrhinus lineatus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Micronycteris megalotis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Macrotus californicus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lophostoma brasiliense,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Lonchorhina aurita,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Leptonycteris nivalis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Leptonycteris curasoae,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Glossophaga morenoi,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Diaemus youngi,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Dermanura phaeotis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Chrotopterus auritus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Artibeus lituratus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Artibeus jamaicensis,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Artibeus fimbriatus,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Anoura geoffroyi,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Anoura caudifera,pathogenOf,Negarnaviricota,Chordata
Rabies lyssavirus,Uroderma bilobatum,pathogenOf,Negarnaviricota,Chordata
